,Station_id,Inspection Station,latitude,longitude,Overall_inspection_count,Emissions_inspection_count,Overall_fails,Safety_fails,Emissions_fails,Overall_fail_rate,Safety_fail_rate,Emissions_fail_rate,Overall_fail_rate_per_station,Safety_fail_rate_per_station,Emissions_fail_rate_per_station
0,PB004695,SPEE DEE OIL CHANGE & TUNE UP,42.568093,-71.992582,7137,6350,2473,1978,626,0.006335437,0.008551036,0.003560237,0.346504133,0.277147261,0.098582677
1,PB019895,SPRINGFIELD INSPECTION CENTER,42.092386,-72.561927,28555,18161,2410,840,1668,0.006174041,0.00363138,0.009486382,0.084398529,0.029416915,0.091845163
2,PB050663,CUSTOM AUTOMOTIVE,42.28393,-71.792077,7909,5667,2220,1832,586,0.005687291,0.007919868,0.003332746,0.280692882,0.231634846,0.103405682
3,PB004666,BROADWAY MOBIL,42.369349,-71.101091,7720,6747,1847,1649,269,0.004731724,0.007128745,0.001529878,0.239248705,0.213601036,0.039869572
4,PB043219,MIKE'S SUPERIOR SERVICE INC.,42.233536,-71.745843,13246,10909,1834,1378,582,0.00469842,0.005957193,0.003309997,0.138456893,0.104031406,0.053350445
5,PB005409,DON ALLEN AUTO SERVICE INC,41.272077,-70.081252,15008,10388,1810,1067,815,0.004636936,0.004612718,0.004635133,0.120602345,0.071095416,0.078455911
6,PB050479,HADLEY AUTO EXPRESS INC.,42.345069,-72.576822,8289,7011,1738,1575,225,0.004452483,0.006808838,0.001279638,0.209675474,0.190010858,0.032092426
7,PB004806,"VEHICLE INSPECTION CENTER, INC.",42.598045,-72.596422,12567,10566,1723,1506,262,0.004414055,0.006510546,0.001490067,0.137105117,0.11983767,0.024796517
8,PB004947,WALTHAM SHELL,42.376129,-71.250188,7737,6550,1649,1475,249,0.004224479,0.006376531,0.001416133,0.213131705,0.190642368,0.038015267
9,PB016014,ART JOHNSON AUTO SALES,42.448156,-73.251496,17473,14069,1246,687,603,0.003192056,0.00296995,0.003429429,0.071310021,0.039317805,0.042860189
10,PB029899,VALVOLINE EXPRESS CARE OF SOUTHWICK,42.070008,-72.76447,10581,8870,1225,1007,271,0.003138258,0.004353333,0.001541253,0.115773556,0.095170589,0.030552424
11,PB050629,MASS INSPECTION,42.400213,-71.096295,20154,17080,1220,587,664,0.003125448,0.002537643,0.003776353,0.060533889,0.029125732,0.038875878
12,PB004574,SALAS AUTO REPAIR,42.721884,-71.173411,12622,8917,1199,295,925,0.00307165,0.001275306,0.005260733,0.09499287,0.02337189,0.10373444
13,PB004773,BOSTON ROAD SERVICE,42.129233,-72.528497,11455,9333,1180,769,471,0.003022975,0.003324442,0.002678709,0.103011785,0.067132257,0.050466088
14,PB005391,HYANNIS MOBIL SERVICE CENTER,41.675417,-70.310485,11860,10188,1156,880,340,0.00296149,0.003804303,0.001933675,0.097470489,0.074198988,0.033372595
15,PB004868,UNION AUTOMOTIVE,42.073713,-71.018984,6914,5328,1109,655,570,0.002841084,0.002831612,0.003241749,0.16039919,0.09473532,0.106981982
16,PB038296,AUTO EXPRESS,42.371775,-72.501492,8106,6678,1079,908,211,0.002764228,0.003925349,0.001200016,0.133111276,0.112015791,0.031596286
17,PB004559,NEW ENGLAND AUTO SALES,42.711179,-71.153417,9099,6527,1071,281,820,0.002743734,0.001214783,0.004663569,0.117705242,0.030882515,0.12563199
18,PB036906,ROUTE 114 SUNOCO,42.556704,-70.969247,9509,8880,1051,638,441,0.002692497,0.00275812,0.00250809,0.110526869,0.067094332,0.049662162
19,PB030716,BROCKTON SHELL,42.071986,-71.04388,8117,6742,1046,707,421,0.002679688,0.003056412,0.002394345,0.128865344,0.087101146,0.062444379
20,PB050749,BROADWAY AUTO SHOP INC.,42.147758,-72.579962,3672,2865,1045,951,151,0.002677126,0.004111241,0.000858779,0.284586057,0.258986928,0.052705061
21,PB005104,SHIMON'S SERVICE STATION,42.346384,-71.127748,10409,9127,1044,719,366,0.002674564,0.003108289,0.002081544,0.100297819,0.069074839,0.0401008
22,PB037006,D & M AUTO DOCTOR,42.388331,-70.998872,4945,4157,1033,862,230,0.002646384,0.003726488,0.001308074,0.208897877,0.174317492,0.055328362
